FECHA,PRECIP,EVAP,TMAX,TMIN
01/07/1978,10,NULO,NULO,NULO
02/07/1978,0,NULO,NULO,NULO
03/07/1978,0,NULO,NULO,NULO
04/07/1978,0,NULO,NULO,NULO
05/07/1978,0.2,NULO,NULO,NULO
06/07/1978,0,NULO,NULO,NULO
07/07/1978,0,NULO,NULO,NULO
08/07/1978,0.5,NULO,NULO,NULO
09/07/1978,18,NULO,NULO,NULO
10/07/1978,15,NULO,NULO,NULO
11/07/1978,0,NULO,NULO,NULO
12/07/1978,0,NULO,NULO,NULO
13/07/1978,1,NULO,NULO,NULO
14/07/1978,3,NULO,NULO,NULO
15/07/1978,9.5,NULO,NULO,NULO
16/07/1978,54,NULO,NULO,NULO
17/07/1978,0,NULO,NULO,NULO
18/07/1978,11,NULO,NULO,NULO
19/07/1978,3.5,NULO,NULO,NULO
20/07/1978,0,NULO,NULO,NULO
21/07/1978,0,NULO,NULO,NULO
22/07/1978,13.5,NULO,NULO,NULO
23/07/1978,6,NULO,NULO,NULO
24/07/1978,0,NULO,NULO,NULO
25/07/1978,46,NULO,NULO,NULO
26/07/1978,6.5,NULO,NULO,NULO
27/07/1978,14,NULO,NULO,NULO
28/07/1978,17,NULO,NULO,NULO
29/07/1978,0,NULO,NULO,NULO
30/07/1978,0,NULO,NULO,NULO
31/07/1978,0,NULO,NULO,NULO
01/11/1978,0,NULO,NULO,NULO
02/11/1978,0,NULO,NULO,NULO
03/11/1978,0,NULO,NULO,NULO
04/11/1978,0,NULO,NULO,NULO
05/11/1978,0,NULO,NULO,NULO
06/11/1978,0,NULO,NULO,NULO
07/11/1978,35,NULO,NULO,NULO
08/11/1978,0,NULO,NULO,NULO
09/11/1978,0,NULO,NULO,NULO
10/11/1978,0,NULO,NULO,NULO
11/11/1978,16,NULO,NULO,NULO
12/11/1978,0,NULO,NULO,NULO
13/11/1978,0,NULO,NULO,NULO
14/11/1978,0,NULO,NULO,NULO
15/11/1978,0,NULO,NULO,NULO
16/11/1978,0,NULO,NULO,NULO
17/11/1978,0,NULO,NULO,NULO
18/11/1978,0,NULO,NULO,NULO
19/11/1978,0,NULO,NULO,NULO
20/11/1978,0,NULO,NULO,NULO
21/11/1978,0,NULO,NULO,NULO
22/11/1978,0,NULO,NULO,NULO
23/11/1978,0,NULO,NULO,NULO
24/11/1978,21.5,NULO,NULO,NULO
25/11/1978,1,NULO,NULO,NULO
26/11/1978,0,NULO,NULO,NULO
27/11/1978,0,NULO,NULO,NULO
28/11/1978,0,NULO,NULO,NULO
29/11/1978,0,NULO,NULO,NULO
30/11/1978,0,NULO,NULO,NULO
01/12/1978,0,NULO,NULO,NULO
02/12/1978,0,NULO,NULO,NULO
03/12/1978,0,NULO,NULO,NULO
04/12/1978,0,NULO,NULO,NULO
05/12/1978,0,NULO,NULO,NULO
06/12/1978,0,NULO,NULO,NULO
07/12/1978,0,NULO,NULO,NULO
08/12/1978,0,NULO,NULO,NULO
09/12/1978,15,NULO,NULO,NULO
10/12/1978,0,NULO,NULO,NULO
11/12/1978,0,NULO,NULO,NULO
12/12/1978,0,NULO,NULO,NULO
13/12/1978,0,NULO,NULO,NULO
14/12/1978,0,NULO,NULO,NULO
15/12/1978,0,NULO,NULO,NULO
16/12/1978,0,NULO,NULO,NULO
17/12/1978,0,NULO,NULO,NULO
18/12/1978,0,NULO,NULO,NULO
19/12/1978,0,NULO,NULO,NULO
20/12/1978,0,NULO,NULO,NULO
21/12/1978,0,NULO,NULO,NULO
22/12/1978,0,NULO,NULO,NULO
23/12/1978,0,NULO,NULO,NULO
24/12/1978,0,NULO,NULO,NULO
25/12/1978,0,NULO,NULO,NULO
26/12/1978,0,NULO,NULO,NULO
27/12/1978,0,NULO,NULO,NULO
28/12/1978,0,NULO,NULO,NULO
29/12/1978,0,NULO,NULO,NULO
30/12/1978,0,NULO,NULO,NULO
31/12/1978,0,NULO,NULO,NULO
01/01/1979,0,NULO,NULO,NULO
02/01/1979,0,NULO,NULO,NULO
03/01/1979,0,NULO,NULO,NULO
04/01/1979,0,NULO,NULO,NULO
05/01/1979,0,NULO,NULO,NULO
06/01/1979,0,NULO,NULO,NULO
07/01/1979,0,NULO,NULO,NULO
08/01/1979,0,NULO,NULO,NULO
09/01/1979,0,NULO,NULO,NULO
10/01/1979,0,NULO,NULO,NULO
11/01/1979,0,NULO,NULO,NULO
12/01/1979,0,NULO,NULO,NULO
13/01/1979,0,NULO,NULO,NULO
14/01/1979,0,NULO,NULO,NULO
15/01/1979,0,NULO,NULO,NULO
16/01/1979,0,NULO,NULO,NULO
17/01/1979,0,NULO,NULO,NULO
18/01/1979,0,NULO,NULO,NULO
19/01/1979,0,NULO,NULO,NULO
20/01/1979,0,NULO,NULO,NULO
21/01/1979,0,NULO,NULO,NULO
22/01/1979,0,NULO,NULO,NULO
23/01/1979,0,NULO,NULO,NULO
24/01/1979,0,NULO,NULO,NULO
25/01/1979,0,NULO,NULO,NULO
26/01/1979,0,NULO,NULO,NULO
27/01/1979,0,NULO,NULO,NULO
