FECHA,PRECIP,EVAP,TMAX,TMIN
01/01/1961,0,4.2,20,5
02/01/1961,0,3.3,21.5,3.5
03/01/1961,0,3.4,21,1.5
04/01/1961,0,2.8,NULO,NULO
05/01/1961,0,3.7,NULO,NULO
06/01/1961,0,5.1,NULO,NULO
07/01/1961,0,4.8,NULO,NULO
08/01/1961,0,5.2,NULO,NULO
09/01/1961,0,3.5,NULO,NULO
10/01/1961,1,2.9,NULO,NULO
11/01/1961,0.5,3.9,NULO,NULO
12/01/1961,7,4.8,NULO,NULO
13/01/1961,0,3.4,NULO,NULO
14/01/1961,0,2.7,NULO,NULO
15/01/1961,0,3.8,NULO,NULO
16/01/1961,0,3,NULO,NULO
17/01/1961,0,2.7,NULO,NULO
18/01/1961,0,3.8,NULO,NULO
19/01/1961,0,3.9,NULO,NULO
20/01/1961,1.5,3,NULO,NULO
21/01/1961,1,4.3,NULO,NULO
22/01/1961,0,4.3,NULO,NULO
23/01/1961,0,3.1,NULO,NULO
24/01/1961,0,4.2,NULO,NULO
25/01/1961,0,5.9,20.5,2.5
26/01/1961,0,4.4,23.5,0.5
27/01/1961,0,6.9,23.5,2
28/01/1961,0,7.7,22,0.5
29/01/1961,0,6.2,24,2.5
30/01/1961,0,6.8,22.5,-1
31/01/1961,0,4.9,23,-1.5
01/02/1961,0,4.8,22,1.5
02/02/1961,0,4.8,18.5,5
03/02/1961,0,5,18,0.5
04/02/1961,0,8.7,18.5,2.5
05/02/1961,1,2.3,17,4
06/02/1961,3,2.6,14,7
07/02/1961,0,5.8,19.5,4
08/02/1961,0,6.8,21.5,1.5
09/02/1961,0,5,22.5,1
10/02/1961,0,8.1,21.5,0
11/02/1961,0,4.5,19.5,-1
12/02/1961,0,6.7,22.5,-7
13/02/1961,0,6.7,23.5,-9
14/02/1961,0,7.1,23.5,-9.5
15/02/1961,0,6.4,22.5,-4.5
16/02/1961,0,6.8,21.5,2.5
17/02/1961,0,6.8,24,3.5
18/02/1961,0,7.7,25,0
19/02/1961,0,8.6,24.5,1.5
20/02/1961,0,7.5,24,1.5
21/02/1961,0,7.5,22.5,4
22/02/1961,0,7.7,22.5,5
23/02/1961,0,7.4,23,3
24/02/1961,0,6.2,24,5.5
25/02/1961,0,6.2,23.5,6
26/02/1961,0,7.9,24,1.5
27/02/1961,0,7.8,25.5,3.5
28/02/1961,0,7,23.5,5
01/03/1961,0.01,6,23.5,3.5
02/03/1961,0,8.2,24,2
03/03/1961,0,4,23.5,2
04/03/1961,0,4.9,20,10
05/03/1961,0,5.5,21.5,8
06/03/1961,0,7.6,26.5,5.5
07/03/1961,0,8.3,28,6.5
08/03/1961,0,8.6,25,5.5
09/03/1961,0,7.7,23.5,3
10/03/1961,0,9.1,23.5,-1
11/03/1961,1,4.6,25,1
12/03/1961,0.5,3.7,22.5,5
13/03/1961,0,6.3,25,5
14/03/1961,0,7.1,25,5
15/03/1961,0,7.3,24,7
16/03/1961,0,8.1,24,10
17/03/1961,0,8.6,24.5,4
18/03/1961,0,7.5,23.5,6.5
19/03/1961,0,8.2,24,3
20/03/1961,0,8.9,23.5,1.5
