FECHA,PRECIP,EVAP,TMAX,TMIN
01/01/1981,0,NULO,18,-1
02/01/1981,0,NULO,19,1
03/01/1981,0,NULO,20,2
04/01/1981,0,NULO,17,-1
05/01/1981,0,NULO,20,-2
06/01/1981,0,NULO,19,1
07/01/1981,0,NULO,21,2
08/01/1981,0,NULO,21,5
09/01/1981,0,NULO,23,3.5
10/01/1981,0,NULO,17,4
11/01/1981,0,NULO,19,5
12/01/1981,0,NULO,11,5
13/01/1981,0,NULO,7,2
14/01/1981,0,NULO,20,3
15/01/1981,0,NULO,17,2
16/01/1981,0,NULO,17,5
17/01/1981,40,NULO,9,6
18/01/1981,16,NULO,12,2
19/01/1981,4,NULO,13,3
20/01/1981,0,NULO,14,1
21/01/1981,0,NULO,14,1
22/01/1981,0,NULO,13,5
23/01/1981,0,NULO,8,3
24/01/1981,0,NULO,17.5,-1
25/01/1981,0,NULO,17,0
26/01/1981,0,NULO,19,5
27/01/1981,0,NULO,19,6
28/01/1981,0,NULO,19,3
29/01/1981,0,NULO,20,4
30/01/1981,0,NULO,23,3
31/01/1981,0,NULO,18,5
01/05/1981,0,NULO,24,11
02/05/1981,0,NULO,20,9.5
03/05/1981,0,NULO,21.5,10
04/05/1981,0,NULO,20.5,9
05/05/1981,0,NULO,25,8
06/05/1981,0,NULO,26.5,7.5
07/05/1981,0,NULO,20.5,7
08/05/1981,0,NULO,21,8
09/05/1981,0,NULO,22,9
10/05/1981,1,NULO,21,7.5
11/05/1981,1.3,NULO,21.5,10
12/05/1981,3.5,NULO,20,8.5
13/05/1981,0,NULO,20.5,8
14/05/1981,0,NULO,23,7.5
15/05/1981,0,NULO,20.5,9
16/05/1981,0,NULO,24,8
17/05/1981,0,NULO,26,10
18/05/1981,0,NULO,28,11.5
19/05/1981,0,NULO,25.5,8
20/05/1981,11,NULO,24,8.5
21/05/1981,0,NULO,24.5,10
22/05/1981,7.8,NULO,24,10.5
23/05/1981,0,NULO,21,11
24/05/1981,0,NULO,20,9.5
25/05/1981,0,NULO,21,8.5
26/05/1981,16,NULO,22.5,8
27/05/1981,3.6,NULO,22,11
28/05/1981,2,NULO,21,9
29/05/1981,8.5,NULO,23,10
30/05/1981,10.5,NULO,23.5,10.5
31/05/1981,0,NULO,23,9
01/06/1981,5,NULO,24,10
02/06/1981,0,NULO,23.5,13
03/06/1981,0,NULO,23,13.5
04/06/1981,0,NULO,24,14
05/06/1981,0,NULO,25,11.5
06/06/1981,9.5,NULO,24,13
07/06/1981,0,NULO,23.5,14
08/06/1981,3,NULO,21.5,12
09/06/1981,11.4,NULO,21,14
10/06/1981,12.4,NULO,21.5,11.5
11/06/1981,4,NULO,20,11
12/06/1981,8,NULO,24,10.5
13/06/1981,3,NULO,21.5,11.5
14/06/1981,7,NULO,23,10.5
15/06/1981,20,NULO,20,13
16/06/1981,15,NULO,18,13.5
17/06/1981,5.4,NULO,19.5,12.5
18/06/1981,8,NULO,21.5,12
19/06/1981,7,NULO,21.5,12.5
20/06/1981,4,NULO,19.5,12
21/06/1981,9,NULO,21,10.5
22/06/1981,4,NULO,19.5,12.5
23/06/1981,5.4,NULO,21.5,9.5
24/06/1981,8,NULO,28.5,10
25/06/1981,3,NULO,22,10.5
26/06/1981,1,NULO,20,12
27/06/1981,4.2,NULO,18.5,12.5
28/06/1981,13,NULO,19,12
29/06/1981,9,NULO,20,11.5
30/06/1981,1,NULO,19,11
01/07/1981,3,NULO,20,12
02/07/1981,0,NULO,19,11
03/07/1981,5,NULO,20.5,9
04/07/1981,16.7,NULO,20.5,11
05/07/1981,0,NULO,19,11.5
06/07/1981,0,NULO,22,10
07/07/1981,9.5,NULO,21.5,11.5
08/07/1981,0,NULO,19,11
09/07/1981,5.4,NULO,20,10.5
10/07/1981,0,NULO,20.5,11
11/07/1981,8.5,NULO,20,9
12/07/1981,0,NULO,20,12
13/07/1981,0,NULO,23,9
14/07/1981,3.7,NULO,19,10.5
15/07/1981,1,NULO,20,12
16/07/1981,0,NULO,21.5,10.5
17/07/1981,5,NULO,19,11
18/07/1981,2.3,NULO,20,10
19/07/1981,7,NULO,23,8
20/07/1981,0,NULO,21,8.5
21/07/1981,0,NULO,20,12
22/07/1981,5.3,NULO,22,11
23/07/1981,10.8,NULO,22,9
24/07/1981,5.6,NULO,22.5,11
25/07/1981,0,NULO,21.5,12
26/07/1981,0,NULO,21,11
27/07/1981,8.5,NULO,20,11.5
28/07/1981,0,NULO,21.5,10
29/07/1981,14.5,NULO,23,9
30/07/1981,0,NULO,21,11.5
31/07/1981,0,NULO,21,8.5
01/08/1981,0,NULO,21,7
02/08/1981,3,NULO,19,7.5
03/08/1981,4.5,NULO,19.5,8.5
04/08/1981,4.3,NULO,21.5,8
05/08/1981,0,NULO,22,11
06/08/1981,0,NULO,22.5,7
07/08/1981,4.7,NULO,22,7.5
08/08/1981,4,NULO,22.5,8
09/08/1981,1,NULO,20.5,7
10/08/1981,5,NULO,21,10
11/08/1981,1.3,NULO,22.5,10.5
12/08/1981,0,NULO,23,11.5
13/08/1981,11.5,NULO,22,7.5
14/08/1981,1,NULO,20.5,9.5
15/08/1981,2.3,NULO,19.5,12
16/08/1981,1.5,NULO,21,10
17/08/1981,2.5,NULO,22,11
18/08/1981,0,NULO,20.5,8.5
19/08/1981,3,NULO,21,11
20/08/1981,0,NULO,20.5,11.5
21/08/1981,2,NULO,20,11
22/08/1981,20,NULO,19,12
23/08/1981,18,NULO,19.5,11
24/08/1981,2,NULO,20,12
25/08/1981,0,NULO,21.5,11
26/08/1981,1,NULO,20,11.5
27/08/1981,0,NULO,20.5,12
28/08/1981,10.5,NULO,19.5,11.5
29/08/1981,1.5,NULO,21.5,12
30/08/1981,5.7,NULO,21,12.5
31/08/1981,0,NULO,22.5,13
01/09/1981,6,NULO,23,12.5
02/09/1981,4.3,NULO,21,12
03/09/1981,1,NULO,21,11.5
04/09/1981,2,NULO,19,12
05/09/1981,13,NULO,20.5,9.5
06/09/1981,6.3,NULO,20,10
07/09/1981,4.3,NULO,20.5,11
08/09/1981,3,NULO,21,11.5
09/09/1981,0,NULO,21.5,10
10/09/1981,0,NULO,21,10.5
11/09/1981,3.5,NULO,22,11
12/09/1981,1,NULO,23,11.5
13/09/1981,2,NULO,21,10
14/09/1981,0,NULO,23,11
15/09/1981,0,NULO,24,9
16/09/1981,13.5,NULO,23,10
17/09/1981,1,NULO,24.5,9.5
18/09/1981,0,NULO,19,9
19/09/1981,0,NULO,18,6.5
20/09/1981,0,NULO,23,7
21/09/1981,4,NULO,20,7.5
22/09/1981,8.3,NULO,23,9
23/09/1981,0,NULO,23.5,10
24/09/1981,0,NULO,22,9
25/09/1981,0,NULO,21,10.5
26/09/1981,8.5,NULO,22,9.5
27/09/1981,60,NULO,21,9
28/09/1981,8.4,NULO,20,8
29/09/1981,1,NULO,18,9.5
30/09/1981,14.4,NULO,16,10.5
01/01/1982,0,NULO,21,4.5
02/01/1982,0,NULO,22,8
03/01/1982,0,NULO,22,7
04/01/1982,0,NULO,21.5,3
05/01/1982,0,NULO,21.5,3
06/01/1982,0,NULO,22,3
07/01/1982,0,NULO,22,2
08/01/1982,0,NULO,20,1
09/01/1982,0,NULO,21,2.5
10/01/1982,0,NULO,22,3
11/01/1982,0,NULO,21,1
12/01/1982,0,NULO,21,5.5
13/01/1982,0,NULO,21,8
14/01/1982,0,NULO,21,6
15/01/1982,0,NULO,23,5
16/01/1982,0,NULO,21,3
17/01/1982,0,NULO,23,3
18/01/1982,0,NULO,24,4
19/01/1982,0,NULO,22,4.5
20/01/1982,0,NULO,24,3
21/01/1982,0,NULO,24.5,4
22/01/1982,0,NULO,24,3
23/01/1982,0,NULO,23,3
24/01/1982,0,NULO,23,2
25/01/1982,0,NULO,23.5,4.5
26/01/1982,0,NULO,23,0
27/01/1982,0,NULO,22,1
28/01/1982,0,NULO,21,1.5
29/01/1982,0,NULO,21,4.5
30/01/1982,0,NULO,20,4.5
31/01/1982,0,NULO,19.5,6
01/02/1982,0,NULO,19,6
02/02/1982,0,NULO,20,7
03/02/1982,0,NULO,20,1
04/02/1982,0,NULO,21,4
05/02/1982,0,NULO,22,4
06/02/1982,0,NULO,23,5
07/02/1982,0,NULO,23.5,7
08/02/1982,0,NULO,23,4
09/02/1982,0,NULO,24,5
10/02/1982,0,NULO,23,5.5
11/02/1982,0,NULO,24,4
12/02/1982,0,NULO,25,5
13/02/1982,0,NULO,22,5
14/02/1982,0,NULO,22,4
15/02/1982,0,NULO,22,4
16/02/1982,0,NULO,21,5
17/02/1982,0,NULO,22,3
18/02/1982,0,NULO,23,4
19/02/1982,0,NULO,23,5
20/02/1982,0,NULO,24,6
21/02/1982,7,NULO,24,4
22/02/1982,3.5,NULO,24.5,6
23/02/1982,0,NULO,22,4
24/02/1982,5,NULO,23,5
25/02/1982,11.5,NULO,23,5.5
26/02/1982,0,NULO,19,5.5
27/02/1982,0,NULO,24,6
28/02/1982,0,NULO,21.5,7
01/03/1982,3,NULO,14,4
02/03/1982,0,NULO,18,3.5
03/03/1982,0,NULO,20.5,4
04/03/1982,0,NULO,21,7
05/03/1982,0,NULO,23,8
06/03/1982,0,NULO,24,5
07/03/1982,0,NULO,22,6.5
08/03/1982,0,NULO,23,1
09/03/1982,0,NULO,25,1.5
10/03/1982,0,NULO,26,5
11/03/1982,0,NULO,25,7
12/03/1982,0,NULO,25,8
13/03/1982,0,NULO,26,9
14/03/1982,0,NULO,26,7
15/03/1982,0,NULO,27,9
16/03/1982,0,NULO,22,9
17/03/1982,0,NULO,25,8
18/03/1982,0,NULO,26.5,7
19/03/1982,0,NULO,25,7.5
20/03/1982,0,NULO,25,9
21/03/1982,0,NULO,24,6.5
22/03/1982,0,NULO,24,6
23/03/1982,0,NULO,24.5,10
24/03/1982,0,NULO,27,8
25/03/1982,0,NULO,25,9
26/03/1982,0,NULO,26,9
27/03/1982,0,NULO,27,11
28/03/1982,0,NULO,27,10
29/03/1982,0,NULO,28,9
30/03/1982,0,NULO,18.5,8
31/03/1982,0,NULO,26,12
01/04/1982,0,NULO,28,7
02/04/1982,0,NULO,28.5,7
03/04/1982,0,NULO,25,8
04/04/1982,0,NULO,28,10
05/04/1982,0,NULO,30,11
06/04/1982,0,NULO,28,7
07/04/1982,0,NULO,27,11
08/04/1982,0,NULO,28,8
09/04/1982,0,NULO,28,10
10/04/1982,0,NULO,26,4
11/04/1982,0,NULO,27,6
12/04/1982,0,NULO,29,5
13/04/1982,0,NULO,24,9
14/04/1982,0,NULO,23,9
15/04/1982,0,NULO,28,12
16/04/1982,0,NULO,24,9
17/04/1982,0,NULO,22.5,8
18/04/1982,0,NULO,22,7
19/04/1982,0,NULO,22.5,8
20/04/1982,14,NULO,22.5,8
21/04/1982,4,NULO,22.5,7
22/04/1982,3.5,NULO,20,7
23/04/1982,0,NULO,21,6
24/04/1982,0,NULO,24,10
25/04/1982,0,NULO,25,12
26/04/1982,0,NULO,22,12.5
27/04/1982,0,NULO,22.5,11
28/04/1982,0,NULO,25,11.5
